IP Address,MAC Address,Lease Time,Renewal Time,Timestamp
192.168.1.1,d8:29:18:8f:7b:f8,86400,72000,1737817069.8121033
192.168.1.5,70:f3:95:16:4b:c4,86400,72000,1737817069.8121033
192.168.1.100,b4:45:06:85:c2:8c,86400,72000,1737817069.8121033
192.168.1.11,14:ab:c5:a2:0d:00,86400,72000,1737817069.8121033
192.168.1.10,b4:45:06:85:c2:8c,10000,7000,1737817112.5047133
192.168.1.101,f2:e3:a6:33:58:74,10000,7000,1737817144.5027423
192.168.1.102,,10000,7000,1737817163.9437597
192.168.1.250,62:34:3a:34:35:3a,10000,7000,1737817179.0737724
